neurons,epochs,learning_rate,activation,accuracy_test_total,accuracy_test_per_class,accuracy_train_total,accuracy_train_per_class
7,5000,0.005,sigmoid,100.0,"[100.0, 100.0, 100.0]",100.0,"[100.0, 100.0, 100.0]"
9,3000,0.005,sigmoid,100.0,"[100.0, 100.0, 100.0]",98.33333333333333,"[100.0, 100.0, 60.0]"
12,500,0.05,sigmoid,100.0,"[100.0, 100.0, 100.0]",100.0,"[100.0, 100.0, 100.0]"
12,1000,0.05,sigmoid,100.0,"[100.0, 100.0, 100.0]",98.33333333333333,"[100.0, 100.0, 60.0]"
3,500,0.001,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,2000,0.001,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,5000,0.001,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.0,"[100.0, 96.96969696969697, 0.0]"
3,500,0.005,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,1000,0.005,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,3000,0.005,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,5000,0.005,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.0,"[98.78048780487805, 100.0, 0.0]"
3,500,0.01,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,1000,0.01,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,2000,0.01,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,3000,0.01,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.0,"[100.0, 96.96969696969697, 0.0]"
3,5000,0.01,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,500,0.05,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,1000,0.05,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,3000,0.05,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
3,5000,0.05,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.0,"[98.78048780487805, 100.0, 0.0]"
3,500,0.1,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",93.33333333333333,"[96.34146341463415, 100.0, 0.0]"
3,1000,0.1,sigmoid,96.66666666666667,"[100.0, 100.0, 0.0]",95.83333333333334,"[100.0, 100.0, 0.0]"
